channel_code,m3u8_hash,source
cyx_BitMeâ˜†,cyx_BitMeâ˜†,IDENTITY
cyx_57EB439F4A15D59B7087A5E,cyx_57EB439F4A15D59B7087A5E,IDENTITY
cyx_HOLATVâ˜†,cyx_HOLATVâ˜†,IDENTITY
cyx_506F7C73E7E7F4EA44FE08AD,cyx_506F7C73E7E7F4EA44FE08AD,IDENTITY
cyx_AZCorazonâ˜†,cyx_AZCorazonâ˜†,IDENTITY
cyx_3271500099060194187,cyx_3271500099060194187,IDENTITY
cyx_AZCinemaMXâ˜†,cyx_AZCinemaMXâ˜†,IDENTITY
cyx_9773691469851603252182765524,cyx_9773691469851603252182765524,IDENTITY
cyx-CinecanalHDCentral,cyx-222C0D274909bcf12CEACB4D8AA7,HEAP
cyx_RECTVCHILEâ˜†,cyx_RECTVCHILEâ˜†,IDENTITY
cyx-NATGEOHD+,cyx_14175787830355265314363,HEAP
cyx-TNTSeries_Central,cyx-B2F1847E4A31acd511AA01D33AE8,HEAP
cyx_87369643941470_480p,cyx_87369643941470_480p,IDENTITY
cyx-Canal24horasHD,cyx-DE79C1C2486Daac02729E8A5CD8C,HEAP
cyx_6500013897995940431506539947,cyx_6500013897995940431506539947,IDENTITY
cyx_Z4MB4Wi9bOtFENc6_480p,cyx_Z4MB4Wi9bOtFENc6_480p,IDENTITY
cyx_0605886283054285432037770095,cyx_0605886283054285432037770095,IDENTITY
cyx_96308588239071877024774,cyx_96308588239071877024774,IDENTITY
cyx-DiscoveryWorldHD,cyx-539D356D40FDaaea85A48E18E0BA,HEAP
cyx-WarnerHD+,cyx-7CCA1DD243A69729FE5A6D6759E7,HEAP
cyx_352710514540854,cyx_352710514540854,IDENTITY
cyx-CDFHD,cyx-34CE6824407D9d0397EA487BB30D,HEAP
cyx_488120545105644195,cyx_488120545105644195,IDENTITY
cyx_2E30EA3D416199FB2ADCB1,cyx_2E30EA3D416199FB2ADCB1,IDENTITY
cyx_2662717743251145,cyx_2662717743251145,IDENTITY
cyx-BabyTV,cyx-5B6F727643FCafb2C319C556C4C9,HEAP
cyx-CanalAntigua,cyx_wmjzuPs3Oyzza9E,HEAP
cyx_Canal3â˜†,cyx_Canal3â˜†,IDENTITY
cyx_Guatevision â˜†,cyx_Guatevision â˜†,IDENTITY
cyx-DiscoveryKidsHD,cyx-CDF8A14B49E9bc1d1218258FB84C,HEAP
cyx_754904644950295,cyx_754904644950295,IDENTITY
cyx_5267223151385825605162589307,cyx_5267223151385825605162589307,IDENTITY
cyx_8C6BDF0C4CAE997477_480p,cyx_8C6BDF0C4CAE997477_480p,IDENTITY
cyx_8575716521744906032565399635,cyx_8575716521744906032565399635,IDENTITY
cyx_9135307731147995826246,cyx_9135307731147995826246,IDENTITY
cyx_9719329275097811545051193306,cyx_9719329275097811545051193306,IDENTITY
cyx-TCM,cyx_B4614C4F18CD1440325,HEAP
cyx_4223752893169393761419415669,cyx_4223752893169393761419415669,IDENTITY
cyx_9662224081879738441597234631,cyx_9662224081879738441597234631,IDENTITY
cyx-MTVHD,cyx-6A98382343B3a850D1F16A1E04BA,HEAP
cyx-2SPfH8WRiSWKhMhIs3xnOcvh5M4w,cyx_ACF15B592CC2223E5B1,HEAP-EXTRA
cyx-69CC04F7CE0BCF8C25B,cyx_AazYyOiw9bnYdVfz,HEAP-EXTRA
cyx-7POVIJO4Y2Qcy5NytlyWKAELtq3wKuRJ,cyx-P9Rb0gAVj1wwGu1wrdOTSs8CjgQF,HEAP-EXTRA
cyx-A3SSERIESHD,cyx-CBB05FB64646bcf38E108BE8B7BE,HEAP-EXTRA
cyx-AT&TSportHD,cyx-340EA9E14AEAaa38E5FB287EC596,HEAP-EXTRA
cyx-ATB,cyx-D89066F34D8E967a83C9F60365D4,HEAP-EXTRA
cyx-Antena3,cyx_x7b82DHWaxfGSgL,HEAP-EXTRA
cyx-Azteca1HD,cyx-4903B35E4EA4a866E6F74151F663,HEAP-EXTRA
cyx-Bandamax,cyx-nF07x88dN8GLZMBxiIa00Bc39SWY,HEAP-EXTRA
cyx-BoliviaTVHD,cyx-655BE1F041B78d8eD08BA2EA478E,HEAP-EXTRA
cyx-BolivisionHD,cyx-klHuHrmYi8hLZ2VyJhFWIgYJq5r1,HEAP-EXTRA
cyx-CMLRLf7Y8MiwirXjHnCujKi94vW7,cyx_5085322528864577514028967127,HEAP-EXTRA
cyx-Canal10Saeta,cyx_z5RJVvavoWDMqyrw,HEAP-EXTRA
cyx-Canal14,cyx_tdUTJwGM5MMpb,HEAP-EXTRA
cyx-CanalUnoHDEcuador,cyx_mIi8rXakIQ93jvRAK,HEAP-EXTRA
cyx-CartoonNetowrkHDCentral,cyx-0FC0F6D0472A828540828F74FF61,HEAP-EXTRA
cyx-CombateHD,cyx-53BA6AC042449084DC9E8C98C362,HEAP-EXTRA
cyx-ComedyCentralHDCentral,cyx-A984501543F1830d8061BEAA4ABF,HEAP-EXTRA
